"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"USBPCB";"USBPCB";"USB-A-PCB";"JP1";"USB Connectors";"";
"1";"WII-NUNCHUCK";"WII-NUNCHUCK";"WII_6PIN";"U$1";"";"";
